adapter_backend,adapter_name,vendor_id,device_id,max_texture_dimension_2d,max_texture_array_layers,raw_width,raw_height,tile_size,tile_halo,viewport_width,viewport_height,zoom,validate_ms,atlas_plan_ms,texture_allocate_ms,halo_pack_ms,row_pack_ms,write_enqueue_ms,uniform_write_ms,bind_ms,upload_total_ms,upload_enqueue_ms,upload_wait_ms,render_p50_ms,render_p95_ms,render_p99_ms,gpu_complete
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,1280,720,2,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,2.108,3.251,4.118,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,1280,720,8,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,0.952,2.221,4.598,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,2560,1440,0.5,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,1.975,2.688,3.274,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,2560,1440,1,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,5.646,7.846,10.496,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,2560,1440,2,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,3.157,5.739,7.444,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,2560,1440,8,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,3.642,7.563,9.246,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,3840,2160,0.5,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,5.377,6.787,7.144,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,3840,2160,1,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,6.151,9.284,9.929,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,3840,2160,2,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,6.452,9.165,9.762,true
Metal,"Apple M5",0,0,32768,2048,4096,3072,4096,1,3840,2160,8,0.001,0.000,0.042,30.991,10.473,10.776,0.053,0.038,52.378,52.38,0.005,5.302,6.083,6.106,true
