adapter_backend,adapter_name,raw_width,raw_height,frame_bytes,tile_size,tile_halo,tile_count,atlas_bytes,reps,validate_p50_ms,atlas_plan_p50_ms,texture_allocate_p50_ms,halo_pack_p50_ms,row_pack_p50_ms,write_enqueue_p50_ms,uniform_write_p50_ms,bind_p50_ms,total_p50_ms,total_min_ms,wait_p50_ms
Metal,"Apple M5",2048,1536,6291456,4096,1,1,33587208,11,0.0015,0.0003,0.1034,34.9079,6.4603,15.4853,0.0637,0.0521,56.7570,51.8793,0.006
Metal,"Apple M5",2048,1536,6291456,256,1,48,6390144,11,0.0016,0.0004,0.0644,8.7485,0.9759,5.8887,0.0328,0.0488,16.4398,13.7563,0.007
Metal,"Apple M5",2048,1536,6291456,512,1,12,6340704,11,0.0013,0.0003,0.0645,8.5348,0.9914,4.2886,0.0411,0.0235,13.8866,12.6464,0.005
Metal,"Apple M5",2048,1536,6291456,1024,1,4,8421408,11,0.0019,0.0003,0.0742,9.1290,1.4317,4.1786,0.0592,0.0222,15.1353,13.1491,0.005
Metal,"Apple M5",2048,1536,6291456,2048,1,1,8405000,11,0.0017,0.0004,0.0683,7.6760,1.3830,3.1200,0.0605,0.0455,14.2481,11.0474,0.005
Metal,"Apple M5",2048,1536,6291456,4096,1,1,33587208,11,0.0016,0.0003,0.0822,33.8696,7.0985,16.3933,0.0671,0.0475,59.7627,45.6843,0.005
Metal,"Apple M5",2048,1536,6291456,1024,0,4,8388608,11,0.0014,0.0003,0.0694,10.1983,0.0002,3.5149,0.0520,0.0273,13.8825,10.3345,0.005
Metal,"Apple M5",2048,1536,6291456,1024,1,4,8421408,11,0.0017,0.0003,0.0897,9.1823,1.3489,4.7652,0.0461,0.0218,15.5953,12.7268,0.005
Metal,"Apple M5",2048,1536,6291456,1024,2,4,8454272,11,0.0015,0.0003,0.0736,9.4408,1.2134,4.1094,0.0426,0.0245,16.4451,13.2754,0.005
Metal,"Apple M5",2048,1536,6291456,1024,4,4,8520192,11,0.0015,0.0003,0.0567,9.1081,1.3413,4.3711,0.0461,0.0222,15.4425,12.6724,0.005
Metal,"Apple M5",4096,3072,25165824,4096,1,1,33587208,11,0.0013,0.0003,0.0875,34.1601,6.4153,16.1605,0.0861,0.0623,58.1683,46.9135,0.005
Metal,"Apple M5",4096,3072,25165824,256,1,192,25560576,11,0.0013,0.0004,0.0789,38.3560,4.8608,23.9385,0.0341,0.0254,67.4420,61.1091,0.006
Metal,"Apple M5",4096,3072,25165824,512,1,48,25362816,11,0.0019,0.0005,0.0619,45.8422,4.8882,21.5746,0.0419,0.0295,73.4230,63.3366,0.005
Metal,"Apple M5",4096,3072,25165824,1024,1,12,25264224,11,0.0022,0.0004,0.0699,39.0099,5.4608,15.3462,0.0605,0.0284,55.7222,50.6175,0.007
Metal,"Apple M5",4096,3072,25165824,2048,1,4,33620000,11,0.0018,0.0003,0.1037,42.3010,9.1608,20.2351,0.0840,0.0250,73.9886,56.5955,0.005
Metal,"Apple M5",4096,3072,25165824,4096,1,1,33587208,11,0.0025,0.0005,0.0932,40.9257,10.4357,23.0437,0.0865,0.0790,76.1889,60.1136,0.007
Metal,"Apple M5",4096,3072,25165824,1024,0,12,25165824,11,0.0026,0.0005,0.0848,44.9922,0.0006,19.7775,0.1062,0.0538,64.5006,43.2262,0.006
Metal,"Apple M5",4096,3072,25165824,1024,1,12,25264224,11,0.0021,0.0005,0.1095,43.4502,7.4304,20.4569,0.1012,0.0551,73.0007,58.6482,0.011
Metal,"Apple M5",4096,3072,25165824,1024,2,12,25362816,11,0.0033,0.0004,0.1086,42.3820,5.8327,20.3065,0.0825,0.0382,70.5984,57.8739,0.006
Metal,"Apple M5",4096,3072,25165824,1024,4,12,25560576,11,0.0018,0.0003,0.1040,47.2989,8.0141,22.3591,0.0740,0.0325,82.8834,60.8361,0.006
Metal,"Apple M5",6240,4160,51916800,4096,1,4,134348832,11,0.0019,0.0003,0.1750,160.8293,30.0596,84.2085,0.1381,0.0367,274.7695,254.4548,0.006
Metal,"Apple M5",6240,4160,51916800,512,1,117,61821864,11,0.0015,0.0003,0.0939,102.4916,11.3063,45.6611,0.0396,0.0250,160.3389,123.8758,0.005
Metal,"Apple M5",6240,4160,51916800,1024,1,35,73687320,11,0.0017,0.0005,0.2020,101.2100,14.3990,45.7945,0.0488,0.0263,163.7034,140.5444,0.005
Metal,"Apple M5",6240,4160,51916800,2048,1,12,100860000,11,0.0015,0.0003,0.1010,96.2862,18.5798,44.4850,0.0557,0.0265,157.4890,143.4189,0.006
Metal,"Apple M5",6240,4160,51916800,4096,1,4,134348832,11,0.0017,0.0002,0.0983,120.7764,22.8367,54.6620,0.0797,0.0260,196.3105,168.4540,0.006
