adapter_backend,adapter_name,raw_width,raw_height,frame_bytes,tile_size,tile_halo,tile_count,atlas_bytes,reps,validate_p50_ms,atlas_plan_p50_ms,texture_allocate_p50_ms,halo_pack_p50_ms,row_pack_p50_ms,write_enqueue_p50_ms,uniform_write_p50_ms,bind_p50_ms,total_p50_ms,total_min_ms,wait_p50_ms
Metal,"Apple M5",6240,4160,51916800,1024,0,35,73400320,11,0.0018,0.0003,0.0897,84.4107,0.0015,29.6380,0.0480,0.0234,114.1730,92.3507,0.005
Metal,"Apple M5",6240,4160,51916800,1024,1,35,73687320,11,0.0015,0.0004,0.1185,104.3232,17.2296,51.5610,0.0626,0.0307,169.8939,152.5978,0.005
Metal,"Apple M5",6240,4160,51916800,1024,2,35,73974880,11,0.0017,0.0003,0.0881,86.1675,12.0287,36.6436,0.0436,0.0232,136.1347,119.3216,0.005
Metal,"Apple M5",6240,4160,51916800,1024,4,35,74551680,11,0.0015,0.0001,0.0577,64.6055,5.7627,23.2357,0.0243,0.0185,95.6127,73.8273,0.004
Metal,"Apple M5",8192,6144,100663296,4096,1,4,134348832,11,0.0010,0.0003,0.0851,103.2849,16.6491,43.2437,0.0824,0.0375,181.4376,134.8380,0.006
Metal,"Apple M5",8192,6144,100663296,512,1,192,101451264,11,0.0008,0.0001,0.0483,102.3586,10.5849,40.7945,0.0235,0.0158,157.9881,111.5422,0.004
Metal,"Apple M5",8192,6144,100663296,1024,1,48,101056896,11,0.0015,0.0003,0.0824,122.1515,16.6835,45.3977,0.0393,0.0332,182.6953,168.0561,0.005
Metal,"Apple M5",8192,6144,100663296,2048,1,12,100860000,11,0.0020,0.0007,0.1393,121.1767,18.4395,44.7861,0.0816,0.0344,193.9635,135.1945,0.006
Metal,"Apple M5",8192,6144,100663296,4096,1,4,134348832,11,0.0015,0.0003,0.5502,152.2885,30.6124,78.0282,0.1004,0.0353,259.1314,213.4494,0.006
Metal,"Apple M5",8192,6144,100663296,1024,0,48,100663296,11,0.0014,0.0003,0.1148,132.7555,0.0025,55.9235,0.0538,0.0398,194.8695,168.5774,0.006
Metal,"Apple M5",8192,6144,100663296,1024,1,48,101056896,11,0.0013,0.0001,0.1142,146.9464,19.9164,58.9359,0.0610,0.0294,222.5257,196.3140,0.006
Metal,"Apple M5",8192,6144,100663296,1024,2,48,101451264,11,0.0014,0.0003,0.0958,148.2910,22.9170,59.5907,0.0456,0.0349,241.4929,195.8902,0.007
Metal,"Apple M5",8192,6144,100663296,1024,4,48,102242304,11,0.0014,0.0003,0.0599,110.5359,13.7140,40.3253,0.0401,0.0225,163.4706,134.3781,0.005
